1,Movie,1917,1917,"At the height of the First World War, two young British soldiers, Schofield (George MacKay) and Blake (Dean-Charles Chapman) are given a seemingly impossible mission. In a race against time, they must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers -- Blake’s own brother among them.

<p>1917 is directed by Sam Mendes, who wrote the screenplay with Krysty Wilson-Cairns (Showtime’s Penny Dreadful). The film is produced by Mendes and Pippa Harris for their Neal Street Productions, Jayne-Ann Tenggren, Callum McDougall and Brian Oliver.",Sam Mendes' World War 1 epic centers around two young soldiers who race to deliver a critical message to their superiors.,2018-12-13 17:08:33.408-08,2020-01-09 12:55:52.386-08,https://www.ign.com/articles/2020/01/09/1917-review,9.5,1917,{Drama},{Amblin Entertainment},{Universal Pictures},{},
2,Movie,A Beautiful Day in the Neighborhood,A Beautiful Day in the Neighborhood,"Tom Hanks portrays Mister Rogers in a timely story of kindness triumphing over cynicism, based on the true story of a real-life friendship between Fred Rogers and journalist Tom Junod. After a jaded magazine writer (Matthew Rhys) is assigned a profile of Fred Rogers, he overcomes his skepticism, learning about empathy, kindness, and decency from America's most beloved neighbor.","Tom Hanks portrays Mister Rogers in a timely story of kindness triumphing over cynicism, based on the true story of a real-life friendship between Fred Rogers and journalist Tom Junod. After a jaded magazine writer (Matthew Rhys) is assigned a profile of Fred Rogers, he overcomes his skepticism, learning about empathy, kindness, and decency from America's most beloved neighbor.",2018-09-28 08:46:24.108-07,2019-09-20 10:48:05.216-07,https://www.ign.com/articles/2019/09/09/a-beautiful-day-in-the-neighborhood-review-mr-rogers-movie,8.5,a-beautiful-day-in-the-neighborhood,{Drama},{Big Beach Films},"{Sony Pictures Entertainment,TriStar Pictures}",{},
3,Show,A Discovery of Witches,A Discovery of Witches,"Cased on the bestselling and critically-acclaimed novel of the same name by Deborah Harkness, ""A Discovery of Witches"" is a modern-day love story set against the backdrop of Oxford academic life. Historian Diana Bishop (Teresa Palmer), a reluctant witch denying her heritage, accidentally discovers a long-lost bewitched manuscript in Oxford’s Bodleian Library, and is immediately thrown into the heart of a dangerous underworld. On her journey, she finds herself tossed into the path of enigmatic vampire and geneticist, Matthew Clairmont (Matthew Goode), who hides a dark family secret.",Historian Diana Bishop discovers a long-lost bewitched manuscript and is thrown into the heart of a dangerous underworld.,2018-10-06 10:08:27.87-07,2019-03-13 11:56:56.805-07,https://www.ign.com/articles/2019/01/17/a-discovery-of-witches-season-1-review,7,a-discovery-of-witches,{Fantasy},{},"{Shudder,Sundance Now}",{},
4,Movie,A Hidden Life,A Hidden Life,"Based on real events, A Hidden Life is the story of an unsung hero, Franz Jägerstätter, who refused to fight for the Nazis in World War II. When the Austrian peasant farmer is faced with the threat of execution for treason, it is his unwavering faith and his love for his wife Fani and children that keeps his spirit alive. ","Based on real events, A Hidden Life is the story of an unsung hero, Franz Jägerstätter, who refused to fight for the Nazis in World War II. ",2019-11-12 16:46:40.821-08,2019-11-12 16:50:43.556-08,https://www.ign.com/articles/2019/12/11/a-hidden-life-review,8.5,a-hidden-life,{Drama},{},{Fox Searchlight Pictures},{},
5,Movie,A Simple Favor,A Simple Favor,"A Simple Favor, directed by Paul Feig, centers around Stephanie (Anna Kendrick), a mommy blogger who seeks to uncover the truth behind her best friend Emily's (Blake Lively) sudden disappearance from their small town.","A Simple Favor, directed by Paul Feig, centers around Stephanie (Anna Kendrick), a mommy blogger who seeks to uncover the truth behind her best friend Emily's (Blake Lively) sudden disappearance from their small town.",2018-08-17 02:42:04.683-07,2018-09-14 12:53:36.881-07,https://www.ign.com/articles/2018/09/14/a-simple-favor-review,8.7,a-simple-favor,{Crime},{},{Lionsgate},{},
6,Movie,Abominable,Abominable,"When teenage Yi (Chloe Bennet) encounters a young Yeti on the roof of her apartment building in Shanghai, she and her mischievous friends, Jin (Tenzing Norgay Trainor) and Peng (Albert Tsai), name him ""Everest"" and embark on an epic quest to reunite the magical creature with his family at the highest point on Earth.","When teenage Yi (Chloe Bennet) encounters a young Yeti on the roof of her apartment building in Shanghai, she and her mischievous friends, Jin (Tenzing Norgay Trainor) and Peng (Albert Tsai), name him ""Everest"" and embark on an epic quest to reunite the magical creature with his family at the highest point on Earth.",2019-02-14 10:00:33.618-08,2019-09-20 16:57:05.271-07,https://www.ign.com/articles/2019/09/13/abominable-review,6,abominable-2019,{Animation},{DreamWorks Animation},{Universal Pictures},{},
7,Comic,Absolute Carnage [2019],Absolute Carnage,"After turning Venom’s world upside down a year ago, the Sinister Symbiote is about to go through hell again ... only this time Carnage has come calling, and everyone who’s ever worn a symbiote is dead in his sights! ","After turning Venom’s world upside down a year ago, the Sinister Symbiote is about to go through hell again ... only this time Carnage has come calling, and everyone who’s ever worn a symbiote is dead in his sights! ",2019-05-15 14:09:55.128-07,2019-10-14 14:44:16.704-07,https://www.ign.com/articles/2019/08/07/carnage-brings-a-dose-of-horror-to-spider-mans-world-absolute-carnage-2-review,8.4,absolute-carnage,{},{},{Marvel Comics},{},
8,Show,After Life,After Life,"After his wife Lisa suddenly dies, Tony (Ricky Gervais) changes. He considers taking his own life, but decides instead to live long enough to punish the world by saying and doing whatever he likes from now on. He thinks it's like a Super Power - not caring about himself or anyone else - but it turns out to be tricky when everyone is trying to save the nice guy they used to know.","After his wife Lisa suddenly dies, Tony (Ricky Gervais) changes. He considers taking his own life, but decides instead to live long enough to punish the world by saying and doing whatever he likes from now on",2018-05-10 10:39:43.379-07,2019-03-08 10:01:10.066-08,https://www.ign.com/articles/2019/03/08/netflixs-after-life-review,7.3,after-life,{Comedy},{},{Netflix.com},{},
9,Show,Aggretsuko,,"Frustrated with her thankless office job, Retsuko the Red Panda copes with her daily struggles by belting out death metal karaoke after work. ","Frustrated with her thankless office job, Retsuko the Red Panda copes with her daily struggles by belting out death metal karaoke after work. ",2018-04-25 17:21:17.454-07,2018-04-26 12:29:20.871-07,https://www.ign.com/articles/2018/04/26/netflixs-aggretsuko-season-1-review,8,aggretsuko,{Anime},{},{Netflix.com},{},
10,Game,Alien: Blackout,Alien: Blackout,,,2019-01-07 09:49:48.638-08,2019-01-11 10:07:36.397-08,https://www.ign.com/articles/2019/01/29/alien-blackout-review,6.3,alien-blackout,{Action},{},{},{},"{US, AU, UK, JP}"
11,Show,All Elite Wrestling,All Elite Wrestling,"Founded by President and CEO Tony Khan, AEW (All Elite Wrestling) is headlined by a diverse roster of world-class male and female professional wrestlers. Focused on fast-paced, high-impact competitions, AEW offers fans more athleticism along with real sports analytics. Wrestlers are also given freedom to explore their characters and highlight their athletic abilities. Introducing statistics to wrestling for the first time ever, AEW will raise the stakes for its matches and deepen fan engagement by tracking each competitor’s wins and losses as wrestlers pursue championships. Their moves and damage to their opponents will also be analyzed on-air to provide insights into their winning streaks. ","Founded by President and CEO Tony Khan, AEW (All Elite Wrestling) is headlined by a diverse roster of world-class male and female professional wrestlers.",2019-07-24 10:19:28.708-07,2019-10-03 15:32:26.026-07,https://www.ign.com/articles/2019/10/03/aew-dynamite-tnt-series-premiere-review,8.4,all-elite-wrestling,{Pro Wrestling},{},{TNT},{},
12,Game,Analogue Mega Sg,Mega Sg,"Explore and re-live SEGA's massively popular video game system with no compromises with the Mega Sg console. Engineered completely in FPGA, the Mega Sg is compatible with the 2,180+ Sega Genesis, Mega Drive and Master System game cartridge library, and is also compatible with the original Sega CD & Mega CD add-on. ","Explore and re-live SEGA's massively popular video game system with no compromises with the Mega Sg console. Mega Sg plays all of your original Sega Genesis, Mega Drive and Master System games. ",2018-10-16 10:26:58.84-07,2019-03-25 08:00:17.032-07,https://www.ign.com/articles/2019/03/25/analogue-mega-sg-review,9,analogue-mega-sg,{Hardware},{},{Analogue Interactive},{},"{US, AU, UK, JP}"
13,Movie,Anna And The Apocalypse,Anna And The Apocalypse,"A zombie apocalypse threatens the sleepy town of Little Haven - at Christmas - forcing Anna and her friends to fight, slash and sing their way to survival, facing the undead in a desperate race to reach their loved ones. But they soon discover that no one is safe in this new world, and with civilization falling apart around them, the only people they can truly rely on are each other...","A zombie apocalypse threatens the sleepy town of Little Haven - at Christmas - forcing Anna and her friends to fight, slash and sing their way to survival, facing the undead in a desperate race to reach their loved ones. But they soon discover that no one is safe in this new world, and with civilization falling apart around them, the only people they can truly rely on are each other...",2018-09-05 11:37:41.363-07,2018-11-30 17:39:52.834-08,https://www.ign.com/articles/2018/11/30/anna-and-the-apocalypse-review,8.1,anna-and-the-apocalypse,"{Horror,Comedy}",{},{Orion Pictures},{},
14,Show,Another Life,Another Life,"Another Life centers on astronaut Niko Breckinridge (Katee Sackhoff) who is focused on searching for alien intelligence.  She leads a crew on a mission to explore the genesis of an alien artifact.  As Niko and her young crew investigate, they face unimaginable danger on what might very well be a one-way mission.","Another Life centers on astronaut Niko Breckinridge (Katee Sackhoff) who is focused on searching for alien intelligence.  She leads a crew on a mission to explore the genesis of an alien artifact.  As Niko and her young crew investigate, they face unimaginable danger on what might very well be a one-way mission.",2018-05-10 10:51:23.092-07,2019-07-22 16:52:03.591-07,https://www.ign.com/articles/2019/07/25/netflixs-another-life-season-1-review,5,another-life,{Sci-Fi},{},{Netflix.com},{},
15,Game,AO Tennis 2,AO Tennis 2,"In AO Tennis 2, the second game in the official Australia Open series, tennis fans can take themselves from the outside courts to centre-stage glory in the all-new narrative-driven career mode. For the first time in AO Tennis, success for a young talented player depends as much on external events as great play on the court, which provides deeper immersion into the world of professional tennis. AO Tennis 2 includes a roster of some of the brightest talents across both the ATP and WTA, including Rafael Nadal, Ash Barty, Angélique Kerber and many others. All venues that will be used in the 2020 Australian Open will also be available in the game, so fans can enjoy maximum authenticity as they play along with the Australian summer of tennis.
<p>
Players can once again use Big Ant's celebrated content editor, which was loved by the community in AO Tennis, to customize every element of their game. Furthermore, all content created and shared by users since the first game from 2018 will be available in AO Tennis 2. That's over 20,000 players and hundreds of courts that can be enjoyed by fans of the sport. ","In AO Tennis 2, the second game in the official Australia Open series, tennis fans can take themselves from the outside courts to centre-stage glory in the all-new narrative-driven career mode. ",2019-11-07 15:07:03.666-08,2020-02-14 12:22:29.474-08,https://www.ign.com/articles/2020/01/08/ao-tennis-2-review,7,ao-tennis-2,{Sports},{Big Ant Studios},{BigBen Interactive},{},"{US, AU, UK, JP}"
